Timestamp,Where do you like to study?,Gender,Do you prefer to study alone ?,How many Hours do you study in one go ?,Do you prefer snacks while studying ?,In which Block you stay?,Do you prefer to study on Bed or Study table?,Which program are you enrolled in ?,Which department are you in ?,Do you prefer Live Lectures or Recording?,Do you prefer to study with Lec recording or Lec slides?,Score
4/5/2022 21:39:08,Your Room,Female,With a friend,2-3 Hrs,Sometimes,Bhaskara,Both,Undergraduate,Mechanical Engineering,Both are equally preferable,Recording,
4/5/2022 21:39:12,Your Room,Female,With a friend,2-3 Hrs,Sometimes,Aryabhatta,Both,Undergraduate,Mechanical Engineering,Both are equally preferable,Slides,
4/5/2022 21:39:20,Your Room,Male,Alone,1-2 Hrs,Sometimes,Kautilya,Study Table,Postgraduate,Physics,Live Lectures,Slides,
4/5/2022 21:39:50,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Both,Undergraduate,Bio Engineering,Recording,Recording,
4/5/2022 21:40:37,Your Room,Male,Alone,1-2 Hrs,Yes,Kapila,Study Table,PHD,Civil Engineering,Both are equally preferable,Recording,
4/5/2022 21:40:43,Academic Block,Female,Alone,3-4 Hrs,No,Aryabhatta,Study Table,Undergraduate,Physics,Recording,Slides,
4/5/2022 21:40:54,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Both,Undergraduate,Electrical Engineering,Recording,Slides,
4/5/2022 21:41:01,Your Room,Male,Alone,2-3 Hrs,No,Ramanuja,Bed,Undergraduate,Electrical Engineering,Recording,Recording,
4/5/2022 21:41:53,Your Room,Male,Prefer Group Study,2-3 Hrs,Yes,Ramanuja,Both,Undergraduate,Computer Science,Both are equally preferable,Recording,
4/5/2022 21:42:52,Your Room,Male,Alone,3-4 Hrs,Yes,Kautilya,Bed,Undergraduate,Mechanical Engineering,Recording,Recording,
4/5/2022 21:43:31,Academic Block,Male,Alone,1-2 Hrs,No,Varahamira,Bed,PHD,Electrical Engineering,Both are equally preferable,Slides,
4/5/2022 21:43:45,Your Room,Male,Prefer Group Study,1-2 Hrs,No,Ramanuja,Both,Undergraduate,Computer Science,Recording,Recording,
